#           k/h    P           
    0.15637E+02    0.61520E-01
    0.15953E+02    0.58333E-01
    0.16275E+02    0.55310E-01
    0.16604E+02    0.52443E-01
    0.16940E+02    0.49722E-01
    0.17282E+02    0.47141E-01
    0.17631E+02    0.44693E-01
    0.17987E+02    0.42371E-01
    0.18351E+02    0.40169E-01
    0.18721E+02    0.38079E-01
    0.19099E+02    0.36098E-01
    0.19485E+02    0.34218E-01
    0.19879E+02    0.32436E-01
    0.20280E+02    0.30745E-01
    0.20690E+02    0.29142E-01
    0.21108E+02    0.27622E-01
    0.21535E+02    0.26180E-01
    0.21970E+02    0.24813E-01
    0.22413E+02    0.23516E-01
    0.22866E+02    0.22287E-01
    0.23328E+02    0.21121E-01
    0.23799E+02    0.20016E-01
    0.24280E+02    0.18968E-01
    0.24771E+02    0.17975E-01
    0.25271E+02    0.17033E-01
    0.25782E+02    0.16140E-01
    0.26302E+02    0.15293E-01
    0.26834E+02    0.14490E-01
    0.27376E+02    0.13729E-01
    0.27929E+02    0.13008E-01
    0.28493E+02    0.12324E-01
    0.29069E+02    0.11676E-01
    0.29656E+02    0.11062E-01
    0.30255E+02    0.10480E-01
    0.30866E+02    0.99278E-02
    0.31490E+02    0.94047E-02
    0.32126E+02    0.89089E-02
    0.32775E+02    0.84391E-02
    0.33437E+02    0.79937E-02
    0.34112E+02    0.75717E-02
    0.34801E+02    0.71717E-02
    0.35504E+02    0.67927E-02
    0.36222E+02    0.64335E-02
    0.36953E+02    0.60932E-02
    0.37700E+02    0.57707E-02
    0.38462E+02    0.54651E-02
    0.39239E+02    0.51755E-02
    0.40031E+02    0.49011E-02
    0.40840E+02    0.46412E-02
    0.41665E+02    0.43949E-02
    0.42507E+02    0.41616E-02
    0.43365E+02    0.39405E-02
    0.44241E+02    0.37310E-02
    0.45135E+02    0.35326E-02
    0.46047E+02    0.33447E-02
    0.46977E+02    0.31666E-02
    0.47926E+02    0.29979E-02
    0.48894E+02    0.28381E-02
    0.49882E+02    0.26868E-02
    0.50890E+02    0.25434E-02
    0.51918E+02    0.24076E-02
    0.52966E+02    0.22790E-02
    0.54036E+02    0.21572E-02
    0.55128E+02    0.20418E-02
    0.56242E+02    0.19325E-02
    0.57378E+02    0.18290E-02
    0.58537E+02    0.17310E-02
    0.59720E+02    0.16382E-02
    0.60926E+02    0.15503E-02
    0.62157E+02    0.14670E-02
    0.63412E+02    0.13882E-02
    0.64693E+02    0.13136E-02
    0.66000E+02    0.12429E-02
    0.67334E+02    0.11760E-02
    0.68694E+02    0.11126E-02
    0.70082E+02    0.10527E-02
    0.71497E+02    0.99588E-03
    0.72942E+02    0.94213E-03
    0.74415E+02    0.89123E-03
    0.75918E+02    0.84304E-03
    0.77452E+02    0.79742E-03
    0.79017E+02    0.75422E-03
    0.80613E+02    0.71333E-03
    0.82241E+02    0.67460E-03
    0.83903E+02    0.63794E-03
    0.85598E+02    0.60323E-03
    0.87327E+02    0.57037E-03
    0.89091E+02    0.53926E-03
    0.90891E+02    0.50982E-03
    0.92727E+02    0.48195E-03
    0.94600E+02    0.45559E-03
    0.96511E+02    0.43065E-03
    0.98461E+02    0.40706E-03
    0.10045E+03    0.38475E-03
    0.10248E+03    0.36366E-03
    0.10455E+03    0.34372E-03
    0.10666E+03    0.32486E-03
